actor_name,actor_slug
Элис Ко,elis-ko
Ли Цзэ Фэн,li-tsze-fen
Тэ Хан Хо,te-khan-kho
Чжун Чу Си,chzhun-chu-si
Кан Цин Цзы,kan-tsin-tszy
Ян Жун,ian-zhun
Син Се Гён,sin-se-gion
Чон Ын Джи,chon-yn-dzhi
Чан Со Вон,chan-so-von
Ян Ши Цзэ,ian-shi-tsze
Чжин Чжи Хи,chzhin-chzhi-khi
Вань Пэн,van-pen
Ким Дон Ён,kim-don-ion
Чху Ён У,chkhu-ion-u
Чон Син Хе,chon-sin-khe
Квон Ю Ри,kvon-iu-ri
Чхве Сон Ын,chkhve-son-yn
Чон Хэ Ин,chon-khe-in
Ли Танат Лекуносомбат,li-tanat-lekunosombat
Сюй Хай Цяо,siui-khai-tsiao
Бай Лу,bai-lu
Сюмин,siumin
Чон Си А,chon-si-a
Чжу Цзя Цянь,chzhu-tszia-tsian
Шэн И Лунь,shen-i-lun
Пак Сан Мён,pak-san-mion
Ито Асахи,ito-asakhi
Чэнь Бо Хао,chen-bo-khao
Цзун Юань Юань,tszun-iuan-iuan
Чжан Нань,chzhan-nan
Чхве Вон Ён,chkhve-von-ion
Ким Юн У,kim-iun-u
Фань Мэн,fan-men
Ки Тхэ Ён,ki-tkhe-ion
Юн Чхэ Гён,iun-chkhe-gion
Чон Да Бин,chon-da-bin
Лю Ши Ши,liu-shi-shi
Чэнь Хэ И,chen-khe-i
Чжу Шэн И,chzhu-shen-i
Гун Ми,gun-mi
Пак Джи Ён,pak-dzhi-ion
Нау Тисанат Сонсык,nau-tisanat-sonsyk
Ли Чжо Ян,li-chzho-ian
Ма Мэн Вэй,ma-men-vei
Сун И,sun-i
Ким Кён Нам,kim-kion-nam
Хуан Цзы Тао,khuan-tszy-tao
Пак Сон Хун,pak-son-khun
Ли Дай Кунь,li-dai-kun
Ван Хэ Ди,van-khe-di
Ян Синь Ин,ian-sin-in
Чжан Бинь Бинь,chzhan-bin-bin
Пак Сон Иль,pak-son-il
Гао Синь,gao-sin
Цзи Сяо Бин,tszi-siao-bin
Чжоу Дун Юй,chzhou-dun-iui
Лю Жунь Нань,liu-zhun-nan
Ли Сан Ёп,li-san-iop
Маэда Ацуко,maeda-atsuko
Чхве Вон Мён,chkhve-von-mion
Янь Ни,ian-ni
Чиа Трикампон Риттапинан,chia-trikampon-rittapinan
Сэмми Коуэлл,semmi-kouell
Ли Джи Хун,li-dzhi-khun
Пхувин Тансакъюэн,pkhuvin-tansakiuen
Чан Рюль,chan-riul
Пэ Юн Гён,pe-iun-gion
Ли Да Хи,li-da-khi
Иэн Ситха Сапанучат,ien-sitkha-sapanuchat
Цинь Лань,tsin-lan
Ли Сон Джэ,li-son-dzhe
У Цзинь Янь,u-tszin-ian
Тун Да Вэй,tun-da-vei
Хэй Цзэ,khei-tsze
Чжан Ю Хао,chzhan-iu-khao
Ким Со Джин,kim-so-dzhin
Ли Дон Гон,li-don-gon
Чон У Чжин,chon-u-chzhin
Ху Дань Дань,khu-dan-dan
Им Чхоль Су,im-chkhol-su
Чхон У Хи,chkhon-u-khi
Тоно Пакин Камвилайсак,tono-pakin-kamvilaisak
Чхве Мин Ги,chkhve-min-gi
Ёсиока Рихо,iosioka-rikho
Лю Минь,liu-min
Ким Хе Ок,kim-khe-ok
Чжу Цзинь Тун,chzhu-tszin-tun
Пак Хёк Квон,pak-khiok-kvon
Ян Ян,ian-ian
Ким Сон Хо,kim-son-kho
Чжан Чэнь Сяо,chzhan-chen-siao
Чон Хе Джин,chon-khe-dzhin
Хуан Шэн И,khuan-shen-i
У Ло Хань,u-lo-khan
Он Сон У,on-son-u
Хон Ын Ги,khon-yn-gi
Ли Док Хва,li-dok-khva
Ли Бён Хон,li-bion-khon
Вэнь Мо Янь,ven-mo-ian
Чэнь Сяо Юнь,chen-siao-iun
Ра Ми Ран,ra-mi-ran
Дай Сян Юй,dai-sian-iui
Танин Каньяви Сонмыан,tanin-kaniavi-sonmyan
Ли Сон Ёль,li-son-iol
Буа Налинтип Сакунонампай,bua-nalintip-sakunonampai
Энэн Фатима Дечаваликун,enen-fatima-dechavalikun
Хоу Вэнь Юань,khou-ven-iuan
Карата Эрика,karata-erika
Ху И Сюань,khu-i-siuan
Сон Кан,son-kan
Ван Лун Чжэн,van-lun-chzhen
Каптан Чонлатон Конгинён,kaptan-chonlaton-konginion
Кан Хун,kan-khun
Цзи Чэнь,tszi-chen
Сунь Цянь,sun-tsian
Квон Ын Бин,kvon-yn-bin
Гай Юэ Си,gai-iue-si
Ли Цзы Фэн,li-tszy-fen
Пак Чан Ёль,pak-chan-iol
Чжао Цзя Минь,chzhao-tszia-min
Бянь Тянь Ян,bian-tian-ian
Чхве Ю Чжон,chkhve-iu-chzhon
Чан На Ра,chan-na-ra
Йери,ieri
Пань Лу Юй,pan-lu-iui
Ли Джу У,li-dzhu-u
Мин Сон Ук,min-son-uk
Сакурада Хиёри,sakurada-khiiori
Ван Цзюнь Хао,van-tsziun-khao
Сугисаки Хана,sugisaki-khana
Ким Хён Мин,kim-khion-min
Асахина Ая,asakhina-aia
Цзя Най Лян,tszia-nai-lian
Хата Мэй,khata-mei
